configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30080,30079,0.7546938775510204,24.091836734693878
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30089,30085,0.8555102040816327,15.894285714285715
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30087,30058,1.3044897959183674,31.032244897959185
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30126,30141,1.299591836734694,28.408571428571427
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30074,30059,0.8979591836734694,17.75673469387755
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30116,30072,1.5269387755102042,19.07795918367347
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30143,30130,1.3065306122448979,31.644489795918368
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30208,30165,9.257551020408163,38.31061224489796
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30234,30191,7.462857142857143,27.484081632653062
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30239,30182,7.641224489795919,32.07714285714286
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30190,30237,4.540816326530612,34.704081632653065
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30209,30198,6.8526530612244905,33.157551020408164
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30241,30169,5.677142857142857,21.44857142857143
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30226,30167,8.855510204081632,26.41183673469388
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30151,30220,5.701632653061225,21.108571428571427
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30174,30233,4.773877551020408,28.139183673469386
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30238,30154,8.08,27.908571428571427
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30248,30185,7.489387755102041,27.690204081632654
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30247,30163,6.4897959183673475,37.353469387755105
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30170,30216,4.245306122448979,41.15265306122449
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30245,30178,4.948979591836735,33.70448979591837
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30223,30168,3.8485714285714283,28.908163265306122
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30184,30230,5.366938775510204,30.099591836734696
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30171,30250,6.230204081632653,34.465714285714284
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30212,30195,4.244897959183674,27.592244897959183
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30227,30188,4.408163265306123,33.96775510204082
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30203,30166,5.071428571428571,25.306122448979593
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30157,30213,3.62,23.08408163265306
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30224,30153,7.241224489795918,16.28734693877551
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30180,30243,4.738367346938776,21.331020408163266
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30197,30201,6.2024489795918365,29.97714285714286
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30187,30249,3.536326530612245,27.88612244897959
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30236,30162,7.007755102040816,25.316326530612244
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30219,30164,6.384081632653062,34.62897959183673
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30211,30200,6.842448979591836,30.303673469387753
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30221,30158,8.188163265306123,20.52408163265306
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30232,30186,6.2057142857142855,33.07142857142857
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30228,30159,7.133061224489796,29.471020408163266
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30152,30229,3.7159183673469385,27.622857142857143
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30183,30225,3.9526530612244897,34.63224489795918
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30205,30196,8.197551020408163,26.010204081632654
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30194,30235,6.120816326530612,24.507755102040818
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30244,30172,8.204489795918366,33.95265306122449
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30181,30206,5.624897959183674,32.11469387755102
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30173,30240,4.156734693877551,22.02285714285714
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30161,30231,5.275510204081632,30.8265306122449
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30214,30160,7.071428571428571,20.244897959183675
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30179,30207,5.551428571428572,35.56285714285714
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30242,30189,7.585306122448979,41.75877551020408
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30199,30210,5.616734693877551,35.97591836734694
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30177,30215,3.263673469387755,51.97102040816326
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30155,30204,4.418367346938775,38.74448979591837
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30193,30246,6.022857142857143,25.25265306122449
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30192,30218,5.162857142857143,33.7065306122449
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30222,30175,8.5,31.92
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30176,30202,4.948979591836735,37.90244897959184
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-treatment,30156,30217,4.305714285714285,43.198367346938774
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30336,30333,2.8979591836734695,25.14938775510204
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30348,30399,2.2955102040816326,25.90244897959184
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30312,30341,2.496326530612245,24.67918367346939
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30304,30308,3.8453061224489797,27.97918367346939
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30340,30344,3.3995918367346936,24.811836734693877
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30397,30320,2.7444897959183674,28.41673469387755
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30338,30334,2.915918367346939,24.031020408163265
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30328,30387,2.863673469387755,20.52081632653061
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30313,30356,2.433061224489796,17.510204081632654
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30381,30368,1.862857142857143,25.07591836734694
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30371,30323,3.479591836734694,32.255102040816325
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30385,30347,3.175918367346939,23.526938775510203
DIFF_MUT_1,"1000, 0.01",oneOffLockstep,0.01,0.03,1000,inter-run,30354,30383,3.3159183673469386,20.38530612244898
