configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30040,30040,0.03918367346938775,21.138367346938775
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30041,30041,0.09836734693877551,30.38734693877551
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30042,30042,0.03918367346938775,18.620816326530612
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30043,30043,0.05755102040816326,17.642857142857142
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30044,30044,0.07510204081632653,20.186122448979592
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30045,30045,0.03918367346938775,12.705714285714286
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30046,30046,0.17346938775510204,24.285714285714285
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30047,30047,0.12285714285714285,27.153061224489797
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30048,30048,0.03918367346938775,28.831020408163266
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30049,30049,0.05755102040816326,16.504489795918367
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,0.03,1000,intra-run,30050,30050,0.09183673469387756,18.53061224489796
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30101,30145,0.5881632653061225,22.07183673469388
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30129,30052,1.316326530612245,22.335102040816327
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30146,30115,0.9616326530612246,20.171836734693876
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30096,30057,0.9567346938775511,23.48734693877551
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30124,30092,2.1485714285714286,31.862857142857145
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30148,30128,1.1004081632653062,19.397551020408162
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30108,30118,0.98,35.3469387755102
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30078,30084,1.0204081632653061,16.988163265306124
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30147,30068,1.0371428571428571,21.72408163265306
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30088,30122,1.6020408163265305,15.755102040816327
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30054,30102,1.326122448979592,23.518775510204083
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30117,30125,1.2506122448979593,23.046530612244897
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30142,30091,0.8310204081632653,22.058775510204082
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30135,30093,1.4220408163265306,22.999591836734695
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30106,30069,1.316326530612245,26.87183673469388
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30063,30144,1.946530612244898,23.840408163265305
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30131,30105,0.8853061224489795,25.96938775510204
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30100,30150,0.98,27.21673469387755
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30060,30051,2.137142857142857,23.61469387755102
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30123,30104,1.1820408163265306,15.502448979591836
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30090,30082,1.0546938775510204,28.66326530612245
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30098,30133,1.4677551020408164,17.52204081632653
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30121,30056,1.7404081632653061,21.894285714285715
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30120,30055,1.0404081632653062,20.708571428571428
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30113,30099,1.1412244897959183,19.704489795918366
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30132,30094,1.136326530612245,18.173061224489796
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30064,30112,0.8036734693877551,18.961632653061226
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30076,30107,1.3877551020408163,16.42
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30109,30138,1.2179591836734693,20.05265306122449
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30127,30075,0.6106122448979592,24.188163265306123
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30077,30073,1.3893877551020408,21.322857142857142
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30110,30137,1.1657142857142857,15.183673469387756
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30071,30065,2.0261224489795917,18.262857142857143
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30136,30103,1.059591836734694,23.88612244897959
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30139,30053,1.2346938775510206,19.513877551020407
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30061,30095,1.2853061224489795,22.45061224489796
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30070,30140,1.536326530612245,24.973061224489797
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30081,30086,1.5710204081632653,20.001632653061225
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30067,30083,1.7718367346938775,32.202448979591836
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30149,30062,1.2118367346938776,20.360816326530614
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30114,30134,0.7738775510204081,21.91673469387755
DIFF_MUT_1,"1000, 0.01",lockstep,0.01,0.03,1000,inter-run,30066,30119,0.72,18.169795918367345
