configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,fitness_value_cell,fitness_value_organism
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30028,A,45.93,91.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30028,B,45.89,91.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30029,A,47.905,95.74
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30029,B,47.835,95.74
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30030,A,45.92,91.845
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30030,B,45.925,91.845
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30031,A,46.93,93.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30031,B,46.89,93.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30032,A,46.925,93.8
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30032,B,46.875,93.8
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30033,A,46.905,93.805
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30033,B,46.9,93.805
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30034,A,47.925,95.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30034,B,47.91,95.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30035,A,40.92,81.81
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30035,B,40.89,81.81
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30036,A,46.905,93.8
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30036,B,46.895,93.8
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30037,A,47.935,95.845
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30037,B,47.91,95.845
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30038,A,47.915,95.775
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30038,B,47.86,95.775
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30039,A,42.905,85.795
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30039,B,42.89,85.795
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30040,A,47.895,95.815
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30040,B,47.92,95.815
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30041,A,44.92,89.845
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30041,B,44.925,89.845
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30042,A,47.905,95.795
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30042,B,47.89,95.795
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30043,A,48.885,97.725
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30043,B,48.84,97.725
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30044,A,47.91,95.795
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30044,B,47.885,95.795
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30045,A,37.86,75.785
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30045,B,37.925,75.785
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30046,A,37.94,75.865
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30046,B,37.925,75.865
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30047,A,46.895,93.81
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30047,B,46.915,93.81
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30048,A,46.895,93.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30048,B,46.925,93.82
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30049,A,45.92,91.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30049,B,45.915,91.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30050,A,44.925,89.835
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30050,B,44.91,89.835
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30251,A,44.875,89.735
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30251,B,44.86,89.735
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30252,A,49.88,98.8
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30252,B,48.92,98.8
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30253,A,49.885,98.755
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30253,B,48.87,98.755
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30254,A,48.885,96.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30254,B,47.88,96.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30255,A,48.915,97.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30255,B,48.85,97.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30256,A,47.87,94.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30256,B,46.895,94.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30257,A,49.89,98.725
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30257,B,48.835,98.725
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30258,A,47.91,95.81
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30258,B,47.9,95.81
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30259,A,45.865,90.76
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30259,B,44.895,90.76
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30260,A,45.9,91.77
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30260,B,45.87,91.77
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30261,A,-1.0,-2.0
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30261,B,-1.0,-2.0
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30262,A,49.89,99.77
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30262,B,49.88,99.77
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30263,A,47.885,95.8
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30263,B,47.915,95.8
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30264,A,49.9,99.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30264,B,49.865,99.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30265,A,50.9,100.78
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30265,B,49.88,100.78
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30266,A,49.88,99.715
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30266,B,49.835,99.715
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30267,A,47.875,95.78
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30267,B,47.905,95.78
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30268,A,49.9,98.78
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30268,B,48.88,98.78
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30269,A,47.885,95.755
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30269,B,47.87,95.755
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30270,A,44.915,88.82
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30270,B,43.905,88.82
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30271,A,46.89,93.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30271,B,46.9,93.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30272,A,49.905,99.77
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30272,B,49.865,99.77
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30273,A,46.885,93.77
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30273,B,46.885,93.77
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30274,A,49.895,98.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30274,B,48.87,98.765
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30275,A,48.87,96.78
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30275,B,47.91,96.78
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30276,A,43.925,87.795
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30276,B,43.87,87.795
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30277,A,49.865,99.74
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30277,B,49.875,99.74
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30278,A,41.87,82.74
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30278,B,40.87,82.74
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30279,A,48.9,97.795
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30279,B,48.895,97.795
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30280,A,49.875,99.725
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30280,B,49.85,99.725
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30281,A,48.92,97.8
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30281,B,48.88,97.8
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30282,A,49.86,98.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30282,B,48.93,98.79
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30283,A,47.92,95.795
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30283,B,47.875,95.795
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30284,A,43.86,87.71
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30284,B,43.85,87.71
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30285,A,46.92,93.815
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30285,B,46.895,93.815
