configuration,pop_mut,scenario,mutation_rate_a,mutation_rate_b,population_size,comparison,a_replicate,b_replicate,variance_leading,variance_overall
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10073,10075,0.16326530612244897,0.28408163265306124
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10131,10128,0.08163265306122448,0.08163265306122448
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10113,10149,0.22408163265306122,0.22408163265306122
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10096,10125,0.14244897959183672,0.14244897959183672
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10102,10107,0.10163265306122449,0.12081632653061225
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-run,10057,10121,0.18,0.42489795918367346
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10245,10168,0.3526530612244898,3.8322448979591837
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10208,10161,0.12244897959183673,5.908571428571428
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10186,10240,0.10163265306122449,3.9791836734693877
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10229,10154,0.12081632653061225,5.660816326530612
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10236,10199,0.20244897959183675,4.571428571428571
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10246,10164,0.08,8.401632653061224
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10239,10174,0.2453061224489796,5.290204081632653
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10194,10201,0.1326530612244898,5.560816326530612
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10230,10197,0.12081632653061225,7.469387755102041
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10172,10234,0.16326530612244897,6.5
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10224,10177,0.2648979591836735,5.6020408163265305
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10207,10184,0.16163265306122448,7.128163265306122
CONFIG_1,"1000, 0.001",lockstep,0.001,0.001,1000,inter-treatment,10156,10235,0.18,6.2812244897959175
