configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30026,B,50,5000,3945,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30027,A,48,5000,1981,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30027,B,54,5000,3991,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30028,A,56,5000,2016,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30028,B,56,5000,3977,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30029,A,48,5000,1991,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30029,B,55,5000,3936,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30030,A,56,5000,1989,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30030,B,62,5000,3969,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30031,A,50,5000,2005,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30031,B,58,5000,3985,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30032,A,48,5000,1964,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30032,B,55,5000,3992,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30033,A,45,5000,1970,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30033,B,55,5000,4064,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30034,A,46,5000,1939,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30034,B,52,5000,4026,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30035,A,46,5000,1971,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30035,B,48,5000,3991,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30036,A,47,5000,1985,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30036,B,59,5000,3954,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30037,A,52,5000,2000,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30037,B,60,5000,3984,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30038,A,49,5000,1985,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30038,B,65,5000,3970,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30039,A,47,5000,1979,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30039,B,61,5000,3958,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30040,A,51,5000,1960,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30040,B,55,5000,3974,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30041,A,51,5000,1937,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30041,B,58,5000,3976,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30042,A,52,5000,2016,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30042,B,56,5000,4043,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30043,A,54,5000,2095,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30043,B,60,5000,3988,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30044,A,48,5000,2004,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30044,B,56,5000,3987,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30045,A,54,5000,1902,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30045,B,58,5000,3962,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30046,A,51,5000,1955,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30046,B,61,5000,3967,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30047,A,50,5000,1996,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30047,B,64,5000,4008,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30048,A,48,5000,1946,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30048,B,53,5000,4004,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30049,A,52,5000,2031,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30049,B,58,5000,3981,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.01,1000,30050,A,51,5000,2027,5000
DIFF_MUT_1,"1000, 0.01, 0.03",lockstep,0.03,1000,30050,B,61,5000,3959,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30251,A,107,5000,2067,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30251,B,167,5000,4026,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30252,A,108,5000,2094,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30252,B,179,5000,3969,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30253,A,116,5000,2063,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30253,B,174,5000,3984,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30254,A,127,5000,2058,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30254,B,181,5000,4058,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30255,A,119,5000,2115,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30255,B,166,5000,3943,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30256,A,130,5000,2063,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30256,B,166,5000,4036,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30257,A,115,5000,2114,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30257,B,182,5000,4023,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30258,A,120,5000,2103,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30258,B,189,5000,4009,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30259,A,125,5000,2081,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30259,B,182,5000,3989,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30260,A,105,5000,2063,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30260,B,171,5000,3970,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30261,A,114,5000,2117,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30261,B,163,5000,3995,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30262,A,110,5000,2058,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30262,B,174,5000,3988,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30263,A,118,5000,2094,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30263,B,172,5000,4005,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30264,A,117,5000,2088,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30264,B,193,5000,3991,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30265,A,113,5000,2109,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30265,B,163,5000,3974,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30266,A,112,5000,2043,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30266,B,170,5000,3976,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30267,A,119,5000,2090,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30267,B,190,5000,4069,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30268,A,112,5000,2158,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30268,B,172,5000,3941,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30269,A,109,5000,2105,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30269,B,204,5000,3969,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30270,A,119,5000,2128,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30270,B,186,5000,4010,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30271,A,124,5000,2124,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30271,B,193,5000,4058,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30272,A,105,5000,2042,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30272,B,166,5000,3985,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30273,A,129,5000,2084,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30273,B,180,5000,4010,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30274,A,122,5000,2055,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30274,B,189,5000,3974,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30275,A,116,5000,2080,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30275,B,154,5000,3997,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30276,A,140,5000,2148,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30276,B,190,5000,4064,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30277,A,119,5000,2082,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30277,B,189,5000,3975,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30278,A,124,5000,2079,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30278,B,180,5000,4005,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30279,A,111,5000,2091,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30279,B,148,5000,3946,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30280,A,118,5000,2099,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30280,B,175,5000,4030,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30281,A,122,5000,2077,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30281,B,188,5000,3998,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30282,A,137,5000,2100,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30282,B,183,5000,3985,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30283,A,107,5000,2081,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30283,B,168,5000,3991,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30284,A,114,5000,2087,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30284,B,196,5000,3990,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30285,A,122,5000,2069,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30285,B,168,5000,4020,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30286,A,114,5000,2083,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30286,B,184,5000,4043,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30287,A,122,5000,2192,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30287,B,171,5000,4000,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30288,A,121,5000,2089,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30288,B,173,5000,3996,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30289,A,126,5000,2096,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30289,B,186,5000,4050,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.01,1000,30290,A,109,5000,2130,5000
DIFF_MUT_1,"1000, 0.01, 0.03",oneOffLockstep,0.03,1000,30290,B,181,5000,3976,5000
