configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,type,value_leading,value_overall,fraction_leading_ben_del_neu,fraction_overall_ben_del_neu,fraction_leading_ben_del_neu_no,fraction_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,A,beneficial,10,9,1.0,0.9,0.002,0.0018
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,A,deleterious,0,1,0.0,0.1,0.0,0.0002
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,A,no_mutation,4990,4990,0,0.9,0,0.998
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,B,beneficial,10,9,1.0,0.9,0.002,0.0018
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,B,deleterious,0,1,0.0,0.1,0.0,0.0002
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,B,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,B,no_mutation,4990,4990,0,0.9,0,0.998
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,A,beneficial,6,6,1.0,1.0,0.0012,0.0012
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,A,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,A,neutral,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,A,no_mutation,4994,4994,0,1.0,0,0.9988
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,B,beneficial,6,8,1.0,1.0,0.0012,0.0016
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,B,deleterious,0,0,0.0,0.0,0.0,0.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,B,neutral,0,0,0.0,0.0,0.0,0.0
