configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,value_leading_ben_del_neu,value_leading_ben_del_neu_no,value_overall_ben_del_neu,value_overall_ben_del_neu_no
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10032,B,6,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10033,A,4,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10033,B,4,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10034,A,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10034,B,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10035,A,5,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10035,B,5,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10036,A,3,5000,3,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10036,B,3,5000,3,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10037,A,6,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10037,B,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10038,A,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10038,B,6,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10039,A,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10039,B,6,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10040,A,6,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10040,B,6,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10041,A,7,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10041,B,7,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10042,A,8,5000,9,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10042,B,8,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10043,A,4,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10043,B,4,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10044,A,4,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10044,B,4,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10045,A,6,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10045,B,6,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10046,A,4,5000,6,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10046,B,4,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10047,A,7,5000,8,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10047,B,7,5000,7,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10048,A,5,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10048,B,5,5000,5,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10049,A,4,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10049,B,4,5000,4,5000
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10050,A,3,5000,3,5000
