configuration,pop_mut,scenario,mutation_rate,population_size,replicate_seed,cell,fitness_value_cell,fitness_value_organism
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,A,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10001,B,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,A,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10002,B,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10003,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10004,A,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10004,B,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10005,A,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10005,B,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10006,A,2.0,4.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10006,B,2.0,4.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,A,10.0,20.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10007,B,10.0,20.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10008,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10009,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,A,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10010,B,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,A,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10011,B,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,A,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10012,B,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,A,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10013,B,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,A,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10014,B,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,A,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10015,B,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,A,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10016,B,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,A,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10017,B,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10018,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,A,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10019,B,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,A,9.0,18.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10020,B,9.0,18.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,A,2.0,4.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10021,B,2.0,4.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,A,1.0,2.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10022,B,1.0,2.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,A,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10023,B,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,A,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10024,B,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,A,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10025,B,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,A,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10026,B,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10027,A,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10027,B,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10028,A,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10028,B,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10029,A,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10029,B,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10030,A,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10030,B,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10031,A,9.0,18.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10031,B,9.0,18.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10032,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10032,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10033,A,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10033,B,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10034,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10034,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10035,A,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10035,B,5.0,10.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10036,A,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10036,B,3.0,6.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10037,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10037,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10038,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10038,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10039,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10039,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10040,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10040,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10041,A,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10041,B,7.0,14.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10042,A,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10042,B,8.0,16.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10043,A,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10043,B,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10044,A,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10044,B,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10045,A,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10045,B,6.0,12.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10046,A,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10046,B,4.0,8.0
CONFIG_1,"1000, 0.001, 0.001",lockstep,0.001,1000,10047,A,7.0,14.0
